date,state,district,pincode,bio_age_5_17,bio_age_17_,z_score
2025-04-01,Uttar Pradesh,Firozabad,283203,8002,1451,88.05073725194352
2025-04-01,Uttar Pradesh,Moradabad,244001,7657,3955,84.24415031186099
2025-04-01,Madhya Pradesh,Singrauli,486886,7085,1900,77.9329395010575
2025-04-01,Delhi,North East Delhi,110094,6921,5066,76.12343150635161
2025-04-01,Madhya Pradesh,Sidhi,486661,6433,1880,70.7390418635682
2025-05-01,Uttar Pradesh,Firozabad,283203,5956,1472,65.4760216594541
2025-03-01,Uttar Pradesh,Moradabad,244001,5928,3483,65.16708127011407
2025-04-01,Delhi,South Delhi,110062,5861,7520,64.42783105276472
2025-04-01,Madhya Pradesh,Barwani,451551,5854,4231,64.35059595542971
2025-05-01,Uttar Pradesh,Aligarh,202001,5759,2298,63.302405348740315
2025-04-01,Uttar Pradesh,Aligarh,202001,5750,2230,63.20310308073816
2025-03-01,Madhya Pradesh,Sidhi,486661,5485,2711,60.27920296734144
2025-04-01,Delhi,South Delhi,110044,5411,6984,59.46271765265707
2025-06-01,Madhya Pradesh,Singrauli,486886,5352,1334,58.811736117976295
2025-04-01,Uttar Pradesh,Rampur,244901,5288,1599,58.10558665662765
2025-04-01,Delhi,North West Delhi,110086,5180,7625,56.913959440601815
2025-07-01,Uttar Pradesh,Aligarh,202001,5082,3522,55.832668077911705
2025-06-01,Madhya Pradesh,Sidhi,486661,5046,1964,55.4354590059031
2025-04-01,Delhi,West Delhi,110059,5003,7201,54.96101483655948
2025-07-01,Uttar Pradesh,Moradabad,244001,4925,4980,54.10039518054082
2025-05-01,Uttar Pradesh,Moradabad,244001,4905,3381,53.87972347386937
2025-07-01,Haryana,Panipat,132103,4567,4587,50.15037163112185
2025-05-01,Madhya Pradesh,Singrauli,486886,4546,1172,49.918666339116825
2025-04-01,Uttar Pradesh,Etah,207001,4529,894,49.73109538844609
2025-05-01,Madhya Pradesh,Sidhi,486661,4492,1641,49.32285273110391
2025-07-01,Maharashtra,Aurangabad,431001,4469,7472,49.06908026843174
2025-04-01,Uttar Pradesh,Saharanpur,247001,4452,3787,48.88150931776101
2025-07-01,Haryana,Faridabad,121004,4422,3007,48.550501757753835
2025-04-01,Delhi,North East Delhi,110053,4396,3486,48.26362853908095
2025-04-01,Uttar Pradesh,Pilibhit,262122,4388,1568,48.17535985641236
2025-05-01,Uttar Pradesh,Saharanpur,247001,4340,3641,47.64574776040089
2025-03-01,Uttar Pradesh,Saharanpur,247001,4318,3381,47.40300888306229
2025-07-01,Chandigarh,Chandigarh,160014,4214,671,46.25551600837075
2025-07-01,Madhya Pradesh,Ratlam,457001,4208,3907,46.18931449636931
2025-05-01,Delhi,North East Delhi,110094,4157,4047,45.62660164435711
2025-03-01,Uttar Pradesh,Firozabad,283203,4155,1352,45.60453447368997
2025-04-01,Delhi,North West Delhi,110042,4112,6188,45.130090304346346
2025-03-01,Uttar Pradesh,Shahjahanpur,242001,4093,1274,44.92045218300847
2025-03-01,Uttar Pradesh,Aligarh,202001,4090,1875,44.88735142700775
2025-07-01,Madhya Pradesh,Barwani,451666,4059,4022,44.545310281667
2025-04-01,Madhya Pradesh,Barwani,451666,4032,3757,44.24740347766054
2025-07-01,Madhya Pradesh,Vidisha,464228,4029,2342,44.21430272165983
2025-05-01,Madhya Pradesh,Burhanpur,450331,4020,3894,44.11500045365767
2025-06-01,Madhya Pradesh,Burhanpur,450331,4003,4502,43.92742950298694
2025-07-01,Delhi,North East Delhi,110094,4001,3759,43.9053623323198
2025-07-01,Haryana,Hisar,125001,3932,3206,43.14404494430329
2025-06-01,Uttar Pradesh,Aligarh,202001,3925,2436,43.06680984696828
2025-05-01,Madhya Pradesh,Barwani,451666,3920,3495,43.01164192030042
2025-05-01,Madhya Pradesh,Barwani,451551,3909,2739,42.89027248163112
2025-04-01,Delhi,West Delhi,110041,3866,5950,42.4158283122875
